,res_SN107 ,res_SN93 ,int_SN8 ,max_syspressure,res_SN18 ,weight
0,28.03765663,20.15232552,574.1268322,225.001,27.05514782,100.968
1,17.49277385,15.74678339,481.1643374,190.893,17.43796472,100.519
2,15.91098057,16.43659886,461.2198247,168.32,15.90030217,100.383
3,14.97973444,16.78266412,446.5935539,152.263,14.81591067,100.261
4,18.18660651,19.56010275,470.2132799,138.365,18.02410374,100.25
5,14.85077295,13.4099123,521.7628986,190.739,15.164378,100.33
6,11.24479277,12.31265079,473.8956388,151.299,11.4022485,100.103
7,12.98066119,14.57373915,480.1737344,127.259,13.14873766,100.056
8,24.20147024,26.89235288,579.8835211,225.199,24.78457717,100.959
9,6.359454548,6.721373089,383.8983139,206.28,6.044960554,100.062
10,9.890351235,11.35620241,505.8579387,160.079,10.64862953,99.9214
11,30.99512878,31.28475414,722.9481028,217.15,31.65760566,101.221
12,23.71546998,26.27271321,641.5062187,193.306,24.35794493,100.864
13,1.392369043,2.081168017,368.7060282,174.517,1.118272759,99.7562
14,4.91536152,5.49335098,414.8097874,158.312,4.268363867,99.8073
15,24.0465501,19.3110185,540.6950502,183.075,23.50855373,100.707
16,18.48356657,17.93784788,483.7544427,158.597,18.28150717,100.427
17,17.41583241,18.15640552,465.8655208,143.245,17.28226138,100.286
18,0,0,248.353691,136.509,0,99.6948
19,27.78803745,28.54456449,593.9275022,225.223,27.73848348,101.091
20,16.50090883,14.69437987,523.7824641,144.016,16.3100339,100.199
21,13.93025637,16.73590617,486.2978545,126.479,15.05656939,100.542
22,18.09300608,20.7663269,518.5758283,217.37,18.77472655,100.655
23,0,2.251847355,310.0935869,196.547,0.105160183,99.7464
24,4.953392612,4.676344505,426.3251567,217.646,4.061829914,100.301
25,36.04679683,36.47145399,807.9174912,209.255,37.12236744,101.378
26,18.63690884,18.93777447,570.3219029,183.198,18.8647193,100.559
27,15.5974468,14.82805902,519.7498308,165.184,15.06240761,100.309
28,0,0.075116741,315.539975,149.633,0,99.432
29,4.675047547,6.337527988,434.9250403,181.782,4.653966006,100.111
30,20.97845279,19.43780845,507.670712,149.954,20.77698993,100.433
31,0,0,255.9492462,142.728,0,99.7333
32,0,0.066249932,270.8610066,128.771,0,99.7277
33,29.96717799,28.35209476,617.1136379,225.216,29.58229788,101.068
34,28.05184453,28.66861428,596.7520358,212.112,27.71002799,100.88
35,3.178423174,5.695968766,384.6054154,120.963,4.694210633,100.004
36,1.361564318,4.691140241,345.67036,206.296,2.360902087,99.834
37,0,1.195720226,297.1694957,186.308,0,99.6209
38,17.16417076,13.87088713,540.1550358,209.373,15.68838655,100.247
39,14.83935688,12.96303008,495.4613714,173.851,14.02888635,100.523
40,20.61916891,22.75779198,622.2663847,174.858,21.51759298,100.604
41,3.592208773,5.6004337,382.6330519,154.899,4.098869584,99.7089
42,0,2.536639769,319.0659092,148.126,0.000196302,99.9288
43,8.065622402,7.853527716,474.131946,177.446,7.672132634,100.162
44,18.14790685,17.56835753,587.7796266,225.219,17.59208356,100.512
