,int_SN80 ,res_SN17 ,res_SN8 ,int_SN8 ,max_syspressure,weight
0,572.8547571,27.29922825,17.88106239,574.1268322,225.001,100.968
1,461.8426024,17.47695058,14.78969863,481.1643374,190.893,100.519
2,435.0467812,15.76007391,16.1323637,461.2198247,168.32,100.383
3,419.0484883,14.45659676,16.83389595,446.5935539,152.263,100.261
4,449.294726,17.82450974,19.69862563,470.2132799,138.365,100.25
5,490.0763503,14.91559836,11.93418876,521.7628986,190.739,100.33
6,442.846548,10.97090071,11.55578395,473.8956388,151.299,100.103
7,452.4946321,12.91372552,14.51920293,480.1737344,127.259,100.056
8,530.6822715,25.05003622,27.03685086,579.8835211,225.199,100.959
9,370.5211639,6.152411145,6.771077716,383.8983139,206.28,100.062
10,458.0416662,10.31759684,10.7079737,505.8579387,160.079,99.9214
11,684.7065605,31.89807765,30.29220129,722.9481028,217.15,101.221
12,590.7594722,24.4363476,26.26474628,641.5062187,193.306,100.864
13,353.6138718,0.990733812,2.145743605,368.7060282,174.517,99.7562
14,402.1277302,3.9290917,5.516709388,414.8097874,158.312,99.8073
15,509.4036949,23.49100191,17.60338162,540.6950502,183.075,100.707
16,452.4553013,18.07371235,17.12676585,483.7544427,158.597,100.427
17,438.2338001,17.16210552,17.92280828,465.8655208,143.245,100.286
18,216.7891756,0,0,248.353691,136.509,99.6948
19,577.9475094,28.02272664,28.35121023,593.9275022,225.223,101.091
20,493.5789552,16.07141624,13.60222688,523.7824641,144.016,100.199
21,442.8492061,14.7059036,16.23184963,486.2978545,126.479,100.542
22,463.3322822,19.01879979,20.95906531,518.5758283,217.37,100.655
23,268.3193681,0.178027607,2.701663486,310.0935869,196.547,99.7464
24,425.3331452,3.932088968,4.616201243,426.3251567,217.646,100.301
25,725.8097068,37.353778,35.38086292,807.9174912,209.255,101.378
26,535.3366293,18.89647995,18.50514271,570.3219029,183.198,100.559
27,504.2250193,14.88920522,14.30582715,519.7498308,165.184,100.309
28,287.2700521,0,0.442457605,315.539975,149.633,99.432
29,417.6209723,4.389366538,6.327115213,434.9250403,181.782,100.111
30,451.9212813,20.62981732,18.34789419,507.670712,149.954,100.433
31,203.3478995,0,0,255.9492462,142.728,99.7333
32,236.2115555,0,0.101822393,270.8610066,128.771,99.7277
33,611.0368432,29.83671961,27.44283471,617.1136379,225.216,101.068
34,578.8436287,27.79315394,28.62446045,596.7520358,212.112,100.88
35,330.9468493,4.159608964,4.783629953,384.6054154,120.963,100.004
36,269.2422429,2.575635477,4.874196994,345.67036,206.296,99.834
37,245.2910788,0,1.479675579,297.1694957,186.308,99.6209
38,550.4838398,15.60084006,13.14705819,540.1550358,209.373,100.247
39,506.6085387,13.90059853,12.2582417,495.4613714,173.851,100.523
40,536.9864206,21.48628616,21.97525486,622.2663847,174.858,100.604
41,328.9950212,4.056830006,5.607452319,382.6330519,154.899,99.7089
42,263.6779073,0,2.446340868,319.0659092,148.126,99.9288
43,475.5617721,7.353768393,7.46954051,474.131946,177.446,100.162
44,591.650446,17.86776986,17.51424795,587.7796266,225.219,100.512
