,no,cooling_time,packing_time,injection_speed,VP_position,packing_pressure1,packing_pressure2,packing_pressure3,packing_time1,packing_time2,material_temperature,mold_temperature,warpage
0,1,18,10.0,10,14,40,20,10.0,1.0,2.0,190,40,0.09030574
2,3,18,10.0,20,16,50,30,15.0,2.0,3.0,210,60,0.069754828
3,4,18,10.0,25,17,55,35,17.5,2.5,3.5,220,70,0.073773986
4,5,18,10.0,30,18,60,40,20.0,3.0,4.0,230,80,0.070359662
6,7,18,11.5,15,15,45,30,15.0,2.0,3.5,220,70,0.083795223
7,8,18,11.5,20,16,50,35,17.5,2.5,4.0,230,80,0.080052633
8,9,18,11.5,25,17,55,40,20.0,3.0,2.0,190,40,0.055485224
9,10,18,11.5,30,18,60,20,10.0,1.0,2.5,200,50,0.077243939
10,11,18,13.0,10,14,40,30,15.0,2.0,4.0,230,80,0.070505787
11,12,18,13.0,15,15,45,35,17.5,2.5,2.0,190,40,0.067269562
12,13,18,13.0,20,16,50,40,20.0,3.0,2.5,200,50,0.076671004
13,14,18,13.0,25,17,55,20,10.0,1.0,3.0,210,60,0.119091555
14,15,18,13.0,30,18,60,25,12.5,1.5,3.5,220,70,0.088765848
15,16,23,10.0,10,15,50,20,12.5,2.0,2.0,200,60,0.117249791
16,17,23,10.0,15,16,55,25,15.0,2.5,2.5,210,70,0.085967522
17,18,23,10.0,20,17,60,30,17.5,3.0,3.0,220,80,0.071423182
18,19,23,10.0,25,18,40,35,20.0,1.0,3.5,230,40,0.058949107
20,21,23,11.5,10,15,50,25,15.0,2.5,3.0,220,80,0.068910128
22,23,23,11.5,20,17,60,35,20.0,1.0,4.0,190,50,0.052346615
23,24,23,11.5,25,18,40,40,10.0,1.5,2.0,200,60,0.0640937
24,25,23,11.5,30,14,45,20,12.5,2.0,2.5,210,70,0.088730423
25,26,23,13.0,10,15,50,30,17.5,3.0,4.0,190,50,0.064599926
26,27,23,13.0,15,16,55,35,20.0,1.0,2.0,200,60,0.079057077
27,28,23,13.0,20,17,60,40,10.0,1.5,2.5,210,70,0.06380471
28,29,23,13.0,25,18,40,20,12.5,2.0,3.0,220,80,0.07111105
30,31,28,10.0,10,16,60,20,15.0,3.0,2.0,210,80,0.068527486
31,32,28,10.0,15,17,40,25,17.5,1.0,2.5,220,40,0.080390565
32,33,28,10.0,20,18,45,30,20.0,1.5,3.0,230,50,0.050266851
34,35,28,10.0,30,15,55,40,12.5,2.5,4.0,200,70,0.074116355
36,37,28,11.5,15,17,40,30,20.0,1.5,3.5,190,60,0.06750378
37,38,28,11.5,20,18,45,35,10.0,2.0,4.0,200,70,0.064274851
38,39,28,11.5,25,14,50,40,12.5,2.5,2.0,210,80,0.06909105
39,40,28,11.5,30,15,55,20,15.0,3.0,2.5,220,40,0.120875835
40,41,28,13.0,10,16,60,30,20.0,1.5,4.0,200,70,0.07116635
41,42,28,13.0,15,17,40,35,10.0,2.0,2.0,210,80,0.067216139
42,43,28,13.0,20,18,45,40,12.5,2.5,2.5,220,40,0.044193001
43,44,28,13.0,25,14,50,20,15.0,3.0,3.0,230,50,0.086206106
