no,cooling_time,packing_time,injection_speed,VP_position,packing_pressure1,packing_pressure2,packing_pressure3,packing_time1,packing_time2,material_temperature,mold_temperature,averageLength
1,18,10,10,14,40,20,10,1,2,190,40,299.6047974
2,18,10,15,15,45,25,12.5,1.5,2.5,200,50,299.2575785
3,18,10,20,16,50,30,15,2,3,210,60,299.1368408
4,18,10,25,17,55,35,17.5,2.5,3.5,220,70,299.0522156
5,18,10,30,18,60,40,20,3,4,230,80,299.1295064
6,18,11.5,10,14,40,25,12.5,1.5,3,210,60,299.1301677
7,18,11.5,15,15,45,30,15,2,3.5,220,70,298.9552307
8,18,11.5,20,16,50,35,17.5,2.5,4,230,80,298.9531046
9,18,11.5,25,17,55,40,20,3,2,190,40,299.4479574
10,18,11.5,30,18,60,20,10,1,2.5,200,50,298.9648132
11,18,13,10,14,40,30,15,2,4,230,80,298.8289185
12,18,13,15,15,45,35,17.5,2.5,2,190,40,299.6604207
13,18,13,20,16,50,40,20,3,2.5,200,50,299.4034932
14,18,13,25,17,55,20,10,1,3,210,60,298.7850138
15,18,13,30,18,60,25,12.5,1.5,3.5,220,70,298.7959391
16,23,10,10,15,50,20,12.5,2,2,200,60,299.3390401
17,23,10,15,16,55,25,15,2.5,2.5,210,70,299.1373291
18,23,10,20,17,60,30,17.5,3,3,220,80,299.0351359
19,23,10,25,18,40,35,20,1,3.5,230,40,298.7075704
20,23,10,30,14,45,40,10,1.5,4,190,50,299.5498352
21,23,11.5,10,15,50,25,15,2.5,3,220,80,298.9798381
22,23,11.5,15,16,55,30,17.5,3,3.5,230,40,299.1790975
23,23,11.5,20,17,60,35,20,1,4,190,50,299.2559611
24,23,11.5,25,18,40,40,10,1.5,2,200,60,298.7437744
25,23,11.5,30,14,45,20,12.5,2,2.5,210,70,298.7986755
26,23,13,10,15,50,30,17.5,3,4,190,50,299.7246501
27,23,13,15,16,55,35,20,1,2,200,60,299.2182312
28,23,13,20,17,60,40,10,1.5,2.5,210,70,299.0576782
29,23,13,25,18,40,20,12.5,2,3,220,80,298.5826518
30,23,13,30,14,45,25,15,2.5,3.5,230,40,298.9736938
31,28,10,10,16,60,20,15,3,2,210,80,299.1066996
32,28,10,15,17,40,25,17.5,1,2.5,220,40,298.7113749
33,28,10,20,18,45,30,20,1.5,3,230,50,298.7211812
34,28,10,25,14,50,35,10,2,3.5,190,60,299.5252787
35,28,10,30,15,55,40,12.5,2.5,4,200,70,299.4052022
36,28,11.5,10,16,60,25,17.5,1,3,230,50,298.9085999
37,28,11.5,15,17,40,30,20,1.5,3.5,190,60,298.8010559
38,28,11.5,20,18,45,35,10,2,4,200,70,298.6625468
39,28,11.5,25,14,50,40,12.5,2.5,2,210,80,299.0008138
40,28,11.5,30,15,55,20,15,3,2.5,220,40,299.2107544
41,28,13,10,16,60,30,20,1.5,4,200,70,299.2196045
42,28,13,15,17,40,35,10,2,2,210,80,298.6985168
43,28,13,20,18,45,40,12.5,2.5,2.5,220,40,298.7930603
44,28,13,25,14,50,20,15,3,3,230,50,298.9948934
45,28,13,30,15,55,25,17.5,1,3.5,190,60,299.2411601
