no,cooling_time,packing_time,injection_speed,VP_position,packing_pressure1,packing_pressure2,packing_pressure3,packing_time1,packing_time2,material_temperature,mold_temperature,averageWidth
1,18,10,10,14,40,20,10,1,2,190,40,99.87278748
2,18,10,15,15,45,25,12.5,1.5,2.5,200,50,99.75365702
3,18,10,20,16,50,30,15,2,3,210,60,99.71351878
4,18,10,25,17,55,35,17.5,2.5,3.5,220,70,99.68465169
5,18,10,30,18,60,40,20,3,4,230,80,99.70959473
6,18,11.5,10,14,40,25,12.5,1.5,3,210,60,99.7127889
7,18,11.5,15,15,45,30,15,2,3.5,220,70,99.65354665
8,18,11.5,20,16,50,35,17.5,2.5,4,230,80,99.65265147
9,18,11.5,25,17,55,40,20,3,2,190,40,99.81606547
10,18,11.5,30,18,60,20,10,1,2.5,200,50,99.65636953
11,18,13,10,14,40,30,15,2,4,230,80,99.61128235
12,18,13,15,15,45,35,17.5,2.5,2,190,40,99.8881429
13,18,13,20,16,50,40,20,3,2.5,200,50,99.80143992
14,18,13,25,17,55,20,10,1,3,210,60,99.59628804
15,18,13,30,18,60,25,12.5,1.5,3.5,220,70,99.60002136
16,23,10,10,15,50,20,12.5,2,2,200,60,99.78124237
17,23,10,15,16,55,25,15,2.5,2.5,210,70,99.71363322
18,23,10,20,17,60,30,17.5,3,3,220,80,99.67910766
19,23,10,25,18,40,35,20,1,3.5,230,40,99.56950887
20,23,10,30,14,45,40,10,1.5,4,190,50,99.85138702
21,23,11.5,10,15,50,25,15,2.5,3,220,80,99.66190338
22,23,11.5,15,16,55,30,17.5,3,3.5,230,40,99.72486115
23,23,11.5,20,17,60,35,20,1,4,190,50,99.75219218
24,23,11.5,25,18,40,40,10,1.5,2,200,60,99.58101145
25,23,11.5,30,14,45,20,12.5,2,2.5,210,70,99.60070801
26,23,13,10,15,50,30,17.5,3,4,190,50,99.90945689
27,23,13,15,16,55,35,20,1,2,200,60,99.7403717
28,23,13,20,17,60,40,10,1.5,2.5,210,70,99.68682607
29,23,13,25,18,40,20,12.5,2,3,220,80,99.5281016
30,23,13,30,14,45,25,15,2.5,3.5,230,40,99.65981801
31,28,10,10,16,60,20,15,3,2,210,80,99.70356242
32,28,10,15,17,40,25,17.5,1,2.5,220,40,99.57079824
33,28,10,20,18,45,30,20,1.5,3,230,50,99.57380422
34,28,10,25,14,50,35,10,2,3.5,190,60,99.84461466
35,28,10,30,15,55,40,12.5,2.5,4,200,70,99.80295309
36,28,11.5,10,16,60,25,17.5,1,3,230,50,99.63719177
37,28,11.5,15,17,40,30,20,1.5,3.5,190,60,99.600324
38,28,11.5,20,18,45,35,10,2,4,200,70,99.55397034
39,28,11.5,25,14,50,40,12.5,2.5,2,210,80,99.66767884
40,28,11.5,30,15,55,20,15,3,2.5,220,40,99.73839061
41,28,13,10,16,60,30,20,1.5,4,200,70,99.74062093
42,28,13,15,17,40,35,10,2,2,210,80,99.56642151
43,28,13,20,18,45,40,12.5,2.5,2.5,220,40,99.59696452
44,28,13,25,14,50,20,15,3,3,230,50,99.66720835
45,28,13,30,15,55,25,17.5,1,3.5,190,60,99.74938711
