no,cooling_time,packing_time,injection_speed,VP_position,packing_pressure1,packing_pressure2,packing_pressure3,packing_time1,packing_time2,material_temperature,mold_temperature,Weight
1,18,10,10,14,40,20,10,1,2,190,40,100.968
2,18,10,15,15,45,25,12.5,1.5,2.5,200,50,100.519
3,18,10,20,16,50,30,15,2,3,210,60,100.383
4,18,10,25,17,55,35,17.5,2.5,3.5,220,70,100.261
5,18,10,30,18,60,40,20,3,4,230,80,100.25
6,18,11.5,10,14,40,25,12.5,1.5,3,210,60,100.33
7,18,11.5,15,15,45,30,15,2,3.5,220,70,100.103
8,18,11.5,20,16,50,35,17.5,2.5,4,230,80,100.056
9,18,11.5,25,17,55,40,20,3,2,190,40,100.959
10,18,11.5,30,18,60,20,10,1,2.5,200,50,100.062
11,18,13,10,14,40,30,15,2,4,230,80,99.9214
12,18,13,15,15,45,35,17.5,2.5,2,190,40,101.221
13,18,13,20,16,50,40,20,3,2.5,200,50,100.864
14,18,13,25,17,55,20,10,1,3,210,60,99.7562
15,18,13,30,18,60,25,12.5,1.5,3.5,220,70,99.8073
16,23,10,10,15,50,20,12.5,2,2,200,60,100.707
17,23,10,15,16,55,25,15,2.5,2.5,210,70,100.427
18,23,10,20,17,60,30,17.5,3,3,220,80,100.286
19,23,10,25,18,40,35,20,1,3.5,230,40,99.6948
20,23,10,30,14,45,40,10,1.5,4,190,50,101.091
21,23,11.5,10,15,50,25,15,2.5,3,220,80,100.199
22,23,11.5,15,16,55,30,17.5,3,3.5,230,40,100.542
23,23,11.5,20,17,60,35,20,1,4,190,50,100.655
24,23,11.5,25,18,40,40,10,1.5,2,200,60,99.7464
25,23,11.5,30,14,45,20,12.5,2,2.5,210,70,100.301
26,23,13,10,15,50,30,17.5,3,4,190,50,101.378
27,23,13,15,16,55,35,20,1,2,200,60,100.559
28,23,13,20,17,60,40,10,1.5,2.5,210,70,100.309
29,23,13,25,18,40,20,12.5,2,3,220,80,99.432
30,23,13,30,14,45,25,15,2.5,3.5,230,40,100.111
31,28,10,10,16,60,20,15,3,2,210,80,100.433
32,28,10,15,17,40,25,17.5,1,2.5,220,40,99.7333
33,28,10,20,18,45,30,20,1.5,3,230,50,99.7277
34,28,10,25,14,50,35,10,2,3.5,190,60,101.068
35,28,10,30,15,55,40,12.5,2.5,4,200,70,100.88
36,28,11.5,10,16,60,25,17.5,1,3,230,50,100.004
37,28,11.5,15,17,40,30,20,1.5,3.5,190,60,99.8692
38,28,11.5,20,18,45,35,10,2,4,200,70,99.6209
39,28,11.5,25,14,50,40,12.5,2.5,2,210,80,100.247
40,28,11.5,30,15,55,20,15,3,2.5,220,40,100.523
41,28,13,10,16,60,30,20,1.5,4,200,70,100.604
42,28,13,15,17,40,35,10,2,2,210,80,99.7089
43,28,13,20,18,45,40,12.5,2.5,2.5,220,40,99.9288
44,28,13,25,14,50,20,15,3,3,230,50,100.162
45,28,13,30,15,55,25,17.5,1,3.5,190,60,100.542
