no,cooling_time,packing_time,injection_speed,VP_position,packing_pressure1,packing_pressure2,packing_pressure3,packing_time1,packing_time2,material_temperature,mold_temperature,weight,weight_classifier
1,18,10,10,14,40,20,10,1,2,190,40,100.968,0
2,18,10,15,15,45,25,12.5,1.5,2.5,200,50,100.519,1
3,18,10,20,16,50,30,15,2,3,210,60,100.383,1
4,18,10,25,17,55,35,17.5,2.5,3.5,220,70,100.261,1
5,18,10,30,18,60,40,20,3,4,230,80,100.25,1
6,18,11.5,10,14,40,25,12.5,1.5,3,210,60,100.33,1
7,18,11.5,15,15,45,30,15,2,3.5,220,70,100.103,1
8,18,11.5,20,16,50,35,17.5,2.5,4,230,80,100.056,1
9,18,11.5,25,17,55,40,20,3,2,190,40,100.959,0
10,18,11.5,30,18,60,20,10,1,2.5,200,50,100.062,1
11,18,13,10,14,40,30,15,2,4,230,80,99.9214,1
12,18,13,15,15,45,35,17.5,2.5,2,190,40,101.221,0
13,18,13,20,16,50,40,20,3,2.5,200,50,100.864,0
14,18,13,25,17,55,20,10,1,3,210,60,99.7562,0
15,18,13,30,18,60,25,12.5,1.5,3.5,220,70,99.8073,0
16,23,10,10,15,50,20,12.5,2,2,200,60,100.707,1
17,23,10,15,16,55,25,15,2.5,2.5,210,70,100.427,1
18,23,10,20,17,60,30,17.5,3,3,220,80,100.286,1
19,23,10,25,18,40,35,20,1,3.5,230,40,99.6948,0
20,23,10,30,14,45,40,10,1.5,4,190,50,101.091,0
21,23,11.5,10,15,50,25,15,2.5,3,220,80,100.199,1
22,23,11.5,15,16,55,30,17.5,3,3.5,230,40,100.542,1
23,23,11.5,20,17,60,35,20,1,4,190,50,100.655,1
24,23,11.5,25,18,40,40,10,1.5,2,200,60,99.7464,0
25,23,11.5,30,14,45,20,12.5,2,2.5,210,70,100.301,1
26,23,13,10,15,50,30,17.5,3,4,190,50,101.378,0
27,23,13,15,16,55,35,20,1,2,200,60,100.559,1
28,23,13,20,17,60,40,10,1.5,2.5,210,70,100.309,1
29,23,13,25,18,40,20,12.5,2,3,220,80,99.432,0
30,23,13,30,14,45,25,15,2.5,3.5,230,40,100.111,1
31,28,10,10,16,60,20,15,3,2,210,80,100.433,1
32,28,10,15,17,40,25,17.5,1,2.5,220,40,99.7333,0
33,28,10,20,18,45,30,20,1.5,3,230,50,99.7277,0
34,28,10,25,14,50,35,10,2,3.5,190,60,101.068,0
35,28,10,30,15,55,40,12.5,2.5,4,200,70,100.88,0
36,28,11.5,10,16,60,25,17.5,1,3,230,50,100.004,1
37,28,11.5,15,17,40,30,20,1.5,3.5,190,60,99.8692,1
38,28,11.5,20,18,45,35,10,2,4,200,70,99.6209,0
39,28,11.5,25,14,50,40,12.5,2.5,2,210,80,100.247,1
40,28,11.5,30,15,55,20,15,3,2.5,220,40,100.523,1
41,28,13,10,16,60,30,20,1.5,4,200,70,100.604,1
42,28,13,15,17,40,35,10,2,2,210,80,99.7089,0
43,28,13,20,18,45,40,12.5,2.5,2.5,220,40,99.9288,1
44,28,13,25,14,50,20,15,3,3,230,50,100.162,1
45,28,13,30,15,55,25,17.5,1,3.5,190,60,100.542,1
